Text,BAL,BNP,NCP,BangladeshJamaat_e_Islami,AB_Party,UPB,JaPa,GOP
"যাদের রক্ত বিক্রি করে শিশু পার্টির নেতারা আঙুল ফুলে কলাগাছ হয়েছে, সেই জুলাই যুদ্ধাদের এখন আর খোঁজ খবর নাই।",2,2,3,2,2,2,2,2
তারুণ্যের জয় হোক। যুবশক্তির জয় হোক।,2,2,1,2,2,2,2,2
এনসিপি জিন্দাবাদ শাপলা জিন্দাবাদ,2,2,1,2,2,2,2,2
"এনসিপি কয়দিন পরে গান গাইবো,,আমি নিজের হাতে নিজের পায়ে কুড়াইল মারিলাম,,",2,2,3,2,2,2,2,2
যেদিন এই নির্বাচন কমিশনার এনসিপিকে শাপলা পথিক দিবে ঐদিন থেকে এ সরকার এই নির্বাচন কমিশনার সুষ্ঠু নির্বাচন করার যোগ্যতা হারিয়ে ফেলবে।,2,2,3,2,2,2,2,2
জুলাই ভরে দিব শাপলা সহ,2,2,4,2,2,2,2,2
ইনকিলাব জিন্দাবাদ শাপলা জিন্দাবাদ,2,2,1,2,2,2,2,2
তেলাপোকা নিজে কে পাখি মনে করা আর এনসিপি নিজে কে দল মনে করা এক কথা,2,2,3,2,2,2,2,2
বাচ্চারা কাইন্দোনা,2,2,3,2,2,2,2,2
এনসিপি হারিয়ে যাওয়ার সম্ভাবনাই বেশি।,2,2,3,2,2,2,2,2
রাজনৈতিকভাবে এনসিপি এদেশে এখনো কিছুই না।,2,2,3,2,2,2,2,2
আবাল শাপলা কি তোদের বাপের সম্পদ নি যে পথিক দেয়ার আগেই তোরা ব্যবহার করস,2,2,4,2,2,2,2,2
জাতীয় নব্য চিলড্রেন চাঁদাবাজ পার্টি,2,2,3,2,2,2,2,2
নির্বাচনের পরে কোন অস্তিত্বই থাকবে না,2,2,3,2,2,2,2,2
শাপলা জাতীয় প্রতীক এটা সব সরকারি জায়গায় ব্যবহার হয় এটা কোন দলের পথিক হতে পারে না,2,2,3,2,2,2,2,2
এনসিপি শেষ বড়শা এখন,2,2,1,2,2,2,2,2
ধো ন কিলাব,2,2,4,2,2,2,2,2
শিশু পার্টি,2,2,3,2,2,2,2,2
এখানকার শাপলাটা কেমন যেন গাঁজা পাতার মত দেখতে,2,2,3,2,2,2,2,2
টোকাই দল বেগুন নিয়ে অফ যা সালারা,2,2,4,2,2,2,2,2
"এনসিপির বিশাল মিছিল, আমাদের এলাকায় এর থেকে বেশি কুকুরের বাচ্ছা রাস্তায় থাকে",2,2,4,2,2,2,2,2
"বাপ মরছে আন্ধা গুন্দা পোলার নাম নাকি কারেন্ট , এনসিপি টুকাইদের হয়েছে এ অবস্থা",2,2,3,2,2,2,2,2
এই এনসিপি কে বিএনপি টিস্যু পেপার মতো ব্যবহার করে ডাস্টবিনে নিক্ষেপ করবে।,2,1,3,2,2,2,2,2
এনসিপি হচ্ছে কলা বাদুরের মত এক গাছ থেকে আরেক গাছে গিয়ে কলা খায়,2,2,3,2,2,2,2,2
জাতীয় যুব শক্তি জিন্দা বাদ,2,2,1,2,2,2,2,2
লাশারা দল এনসিপি মবসন্ত্রাসী,2,2,3,2,2,2,2,2
আমার মনে হয় যুক্তিহীন ও নির্বোধ মতামত দিয়ে জামায়াতের পিছনে পড়ে নিজেদেরকে চাদাবাজ দলের কাতারে নিয়ে আসতেছেন।,2,3,3,1,2,2,2,2
"নবগঠিত এই দল গণমানুষের মনে যে সামান্য পরিমাণ দরদ পেয়েছিল, চাঁদাবাজি , মাস্থানী আর অসৌজন্যমূলক আচরণের কারণে দরদের সেই জায়গাটাও তারা হারিয়ে ফেলেছে।",2,2,3,2,2,2,2,2
"এনসিপি নিজেদেরকে দিন দিন চাঁদাবাজ,স্বার্থান্বেষী হিসেবে প্রমাণ করেছে।",2,2,3,2,2,2,2,2
গণঅভ্যুত্থানকে পুঁজি করে ব্যবসা করতে চাইলে মুক্তিযুদ্ধ ইন্ডাস্ট্রির মত আপনারাও ইতিহাসের আস্তাকুঁড়ে নিক্ষিপ্ত হবেন ইনশাআল্লাহ।,3,2,3,2,2,2,2,2
যে দলের মেম্বার হওয়ার মত লোক নাই সেই জামাতের সাথে লাগতে আসে।,2,2,3,1,2,2,2,2
"ভোট জামাতকে দিব, তোরা যার বিরোধিতা করবি তাকেই ভোট দিব।",2,2,3,1,2,2,2,2
গনঅভ্যুথান তদের বাপের সম্পত্তি একদম অভ্যভুথান বেচে খাওয়া একদম ভরে দেওয়া হবে,2,2,4,2,2,2,2,2
এনসিপি গনঅভ্যুত্থানের বাপ হলে জামায়াতে শিবির সেই বাপের জন্মদাতা পিতা।,2,2,3,1,2,2,2,2
অভ্যু*ত্থান এন*সিপির বাপের নয়,2,2,3,2,2,2,2,2
"ধ্যনবাদ এনসিপি কে দেরিতে হলেও জামায়াতে ইসলামীর মুনাফেকি বন্ডামি বুঝতে পারা, এ-ই জামায়াতে ইসলামী আজকের বেইমান মুনাফেক না, সেই ১৯৪৭ সাল পরবর্তী থেকে এদের চরিত্র হচ্ছে বেইমানি মুনাফেকি বিশ্বাস ঘাতকতা",2,2,1,3,2,2,2,2
চেতনা বিক্রিতে এনসিপি ফ্যাসিস্ট আওয়ামীলীগকেও ছাড়িয়ে যাচ্ছে।,3,2,3,2,2,2,2,2
জুলাই বিক্রি করে এনসিপির নেতারা পেট এবং পকেট বারি করেছে।,2,2,3,2,2,2,2,2
টিএসসির টুকাইরা টিসসিতে চলে যা,2,2,3,2,2,2,2,2
দুধের বাচ্চা গুলা।,2,2,3,2,2,2,2,2
"আফনেরা জুলাই নিয়্যা ব্যবসা করবেন, সমন্বয়ক কইয়্যা চাদাবাজি কইর‍্যা টেকা ইনকাম করবেন, ক্ষেমতায় যাইবেন।",2,2,3,2,2,2,2,2
"ইনশাআল্লাহ, এনসিপি নতুন কিছু করে দেখাবে",2,2,1,2,2,2,2,2
"মুনাফেক তোমরা, জুলাই ব্রিক্রি করে খাচ্ছো।",2,2,3,2,2,2,2,2
ক্ষমতা লোভী রাজনীতিবিদরা তরুন দের কে তাদের ক্ষমতার জন্য চ্যালেঞ্জ মনে করছে।,2,2,1,2,2,2,2,2
"আগামীর বাংলাদেশ জামায়াতে ইসলামী পরিচালনা করবে, ইনশাআল্লাহ।",2,2,2,1,2,2,2,2
পরিশ্রম ছাড়া অন্যের কাদের উপর ভর করে নেতা হতে চাই এবং নেতৃত্ব দিতে চাই সেই দলটি হচ্ছে এন সি পি।,2,2,3,2,2,2,2,2
জামাত শিবিরের লোক ছাড়া তাদের জনসভা করতে পারে না।,2,2,3,1,2,2,2,2
জুলাইকে কুক্ষিগত করতে গিয়ে এনসিপি জাতিকে বিভক্ত করেছে।,2,2,3,2,2,2,2,2
জুলাই বিক্রি করে রাজনীতিকে অস্থিতিশীল করেছে।,2,2,3,2,2,2,2,2
"সিনিয়র সিটিজেন, রাজনীতিবিদদের নূন্যতম সম্মান এনসিপি দেখাতে পারেনা।",2,2,3,2,2,2,2,2
ন্যাশনাল চুদলিংপং পার্টি (এনসিপির) পক্ষ থেকে সাথে নীলা ইস্রাফিলের পক্ষ থেকে শুভকামনা,2,2,4,2,2,2,2,2
জুলাই বেচার একমাত্র দল এনসিপি,2,2,3,2,2,2,2,2
"অভ্যূত্থান এর গোয়ামারা আপ্নারাই দিছেন, কদিন পর আপনাদের ডাকে কেউ আসবেনা, নিজেদের বিশ্বস্ততা ধরে রাখতে পারেন্নাই।",2,2,4,2,2,2,2,2
তোমরা গণঅভূত্থানের পো/ মারি দিছো।,2,2,4,2,2,2,2,2
এখনি বাল গোজায়নি আর এনসিপি এখনি বিয়ে করতে চায় ব্যাপারটা অনেক একই রকম,2,2,4,2,2,2,2,2
গণঅভ্যুত্থান সিনতাই করার চেষ্টা করছে এনসিপি সফল হয়নি তাই আবোল তাবল বকছে।,2,2,3,2,2,2,2,2
"জামায়াত শুধু তোদের না, ২৪ অভ‍্যুত্থানের ও বাপ!",2,2,3,1,2,2,2,2
এনসিপি সকল রাজনৌতিক দলের বাপ,2,2,1,2,2,2,2,2
গণঅভ্যুত্থান কারো একক সম্পত্তি না আর যদি এনসিপি একক সম্পত্তি বানাতে চাই তাহলে আওয়ামী লীগের মতো মুক্তিযুদ্ধের চেতনা ব্যবসার মতো এতো দিন টিকতে পারবে না,3,2,3,2,2,2,2,2
"এতো দিন জামায়াত - শিবিরের সরাসরি সাপোর্টে উঁচু গলায় কথা বলেছিস, গোপালগঞ্জ সহ দেশের বিভিন্ন জায়গায় মার খাচ্ছিস, সব জায়গায় জামায়াত তোদের পাশে দাড়িয়েছে।",2,2,3,1,2,2,2,2
জুলাই বিক্রি করে ভালো টাকা কামাইছো,2,2,3,2,2,2,2,2
তোমরা এতো অল্প বয়সে নষ্ট হয়ে যাবে ভাবতে পারিনি,2,2,3,2,2,2,2,2
নিজেদেরকে গণঅভ্যুত্থানের বাপ দাবি কইরেন না,2,2,3,2,2,2,2,2
এনসিপির ছেলে গুলো বখে যাচ্ছে।,2,2,3,2,2,2,2,2
জাতীয় শিশু পার্টি বলে কথা।,2,2,3,2,2,2,2,2
এন সিপির সমস্ত নেতাকর্মির উদ্যেশ্য বলতাছি আজ থেকে আপনারা জামাত কে আব্বা ডাকবেন,2,2,3,1,2,2,2,2
"জামাত-শিবির জ""ঙ্গি,ইসলামের শত্রু ৷",2,2,2,3,2,2,2,2
জামাত-শিবিরের হাত থেকে বাংলাদেশ বাঁচাও ৷,2,2,2,3,2,2,2,2
"এনসিপি যেভাবে কথা বলতেছে মনে গণঅভ্যুত্থান শুধু তারাই করেছে, অন্যদল গুলোর কেউ ছিলো না!",2,2,3,2,2,2,2,2
বাল পাকনা এনসিপি!,2,2,4,2,2,2,2,2
গনঅভ্যুত্থান নামক বাপ কে তো তোমরা বিক্রি করে খেয়ে ফেলেছো।,2,2,3,2,2,2,2,2
গণঅভ্যুত্থানের ডিলার নিয়েছে নাকি এনসিপি(ন্যাশনাল সুবিধাবাজ পার্টি),2,2,3,2,2,2,2,2
বাচ্চারা কথা শিখছো,2,2,3,2,2,2,2,2
২৪ এর জুলাই আগস্ট নিজের দলের সম্পদ মনে করাটাই সবচেয়ে বড় ভুল।,2,2,3,2,2,2,2,2
এনসিপির ভবিষ্যৎ অন্ধ।,2,2,3,2,2,2,2,2
এনসিপি ও পুরনো রাজনৈতিক ধারা বজায় রেখে চলা শুরু করছে মনে হচ্ছে।,2,2,3,2,2,2,2,2
বাপের সাথে পাঞ্জা লড়বে জানতাম তোমাদের পদযাত্রার অংশীদার হতাম না।,2,2,3,2,2,2,2,2
পুরাতন চান্দাভাইরা নতুন চান্দাভাইরা মিলে মিশে একাকার,2,3,3,2,2,2,2,2
জামাতের সমর্থন ছাড়া এনসিপি শুকনো পাতা।,2,2,3,1,2,2,2,2
নিজেদের ব্যক্তিগত ফ্রাস্ট্রেশন অথবা রাজনৈতিক ফ্রাস্ট্রেশন এর পর্যায়ে আছে এন সি পি,2,2,3,2,2,2,2,2
"এইনা বিপ্লবীর মতো কথা,, এতদিন শুধু শুধু মুনাফিকেরদের কথায় মেও মেও করেছ",2,2,1,3,2,2,2,2
বাংলাদেশ জামায়াতে ইসলামীর নেতৃত্বের জোটই সরকার গঠন করবে ইনশাআল্লাহ।,2,2,2,1,2,2,2,2
"আগে ছিল মুক্তিযুদ্ধের চেতনা, এখন হইছে জুলাই চেতনা।",3,2,3,2,2,2,2,2
জামায়াত ই একমাত্র দেশপ্রেমি সংগঠন।,2,2,2,1,2,2,2,2
"জামাত আর তামাক উভয়ই ক্ষতিকর, তামাক শরীর জন্য আর জামাত ধর্মের জন্য",2,2,2,3,2,2,2,2
প্রিয় দেশবাসী চৌদ্দগ্রামবাসী জমার শিবিরের সমর্থনকারীরা আমার দোকানপাট ঘরবাড়ি ইত্যাদি সবকিছু ভাঙচুর করা হয়েছে,2,2,2,3,2,2,2,2
ভন্ড মোনাফেক,2,2,2,3,2,2,2,2
জামাত জিন্দাবাদ,2,2,2,1,2,2,2,2
এদেশে ইসলাম প্রতিষ্ঠা হলে প্রকৃত ইসলামই প্রতিষ্ঠা হবে।,2,2,2,1,2,2,2,2
ইনশাআল্লাহ জামাত শিবির দাঁড়িপাল্লা জিন্দাবাদ,2,2,2,1,2,2,2,2
আগামীর বাংলাদেশ ন্যায় ও ইনসাফের বাংলাদেশ,2,2,2,1,2,2,2,2
আগামীর বাংলাদেশ কোরআন সুন্নাহর বাংলাদেশ,2,2,2,1,2,2,2,2
আগামীর বাংলাদেশ দাঁড়িপাল্লার বাংলাদেশ,2,2,2,1,2,2,2,2
মুখে মধু অন্তরে বিষ এর নাম জামাত শিবির,2,2,2,3,2,2,2,2
ইনশাআল্লাহ দাঁড়িপাল্লা আগামীতে জয়লাভ করবে,2,2,2,1,2,2,2,2
"চলছে লড়াই চলবে, জামায়াত শিবির লড়বে",2,2,2,1,2,2,2,2
চাঁদা বাজ সংগঠন জামায়াত ধর্ম ব্যবসায়ী নেতা কবিরাজ শফিকুল রহমান,2,2,2,3,2,2,2,2
আমীরে জামাত আপনারা বিভ্রান্ত ও ইসলামের নামে রাজনীতি বন্ধ করুন।,2,2,2,3,2,2,2,2
রাজনীতিতে ইসলাম টানা বন্ধ করুন,2,2,2,3,2,2,2,2
জামাত ইসলাম কখনোই ইসলামিক দল না,2,2,2,3,2,2,2,2
রাজনীতি করুন ইসলাম বাদে,2,2,2,3,2,2,2,2
জামা'তকে আর কেউ থামিয়ে রাখতে পারবে না,2,2,2,1,2,2,2,2
৫৪ বছর আগে ইসলাম! (জামা'ত ইসলামী) পরাজিত হলেও এবার আর পরাজিত হওয়ার কোন চান্স নাই!!!,2,2,2,1,2,2,2,2
"যে কোনো দলের নামের সামনে পিছনে ইসলাম লাগালেই, ইসলামী দল হয় না।",2,2,2,3,2,2,2,2
জামাত ছারা কেউ খাটাপ কাজে লিপ্ত নাই,2,2,2,3,2,2,2,2
"পীর সাহেব দখলধারিত্বে যারা লিপ্ত, তাদের বিরোদ্ধ একটা মেসেস দেন!",2,2,2,3,2,2,2,2
সকল অপকর্মের মুল হুতা জামায়াত,2,2,2,3,2,2,2,2
ভন্ডামী আর মোনাফেকী বাদ দিলেই সমাজ ও রাষ্ট্র ভালোভাবে গঠন করা যাবে।,2,2,2,3,2,2,2,2
ইনশাআল্লাহ জালেমরা পরাজিত হবে আর মজলুমরা জয়ী হবে,2,2,2,1,2,2,2,2
বাংলাদেশ জামায়াতে ইসলামী জিন্দাবাদ।,2,2,2,1,2,2,2,2
সুষ্ট ভোট হলে আমির সাব বিপুল ভোটে পরাজিত হবে,2,2,2,3,2,2,2,2
মোনাফেকের চেহারা,2,2,2,3,2,2,2,2
নারায়ে তাকবীর আল্লাহু আকবার বাংলাদেশ জামায়াতে ইসলামী জিন্দাবাদ জিন্দাবাদ।,2,2,2,1,2,2,2,2
ইনশাআল্লাহ ভোটার গান নিরবিচ্ছিন্নভাবে ভোট দিতে পারলে দাড়িপাল্লা মার্কা নির্বাচিত হবে,2,2,2,1,2,2,2,2
"আপনাদের নীতি-নৈতিকতা ধরে রাখুন, ইনশাআল্লাহ জামায়াতে ইসলাম হবে আগামীর বাংলাদেশ!",2,2,2,1,2,2,2,2
আমরা বাংলাদেশ জামায়াতে ইসলাম কে সহযোগিতা করব ,2,2,2,1,2,2,2,2
আল্লাহ পাক আমীরে জামায়াতকে ১৫ নং আসনে কবুল ও মঞ্জুর করে নিন নেক হায়াত দিন,2,2,2,1,2,2,2,2
"হে আল্লাহ তুমি ইসলামের প্রতি মানুষের ভালবাসাকে কবুল করো,মানুষ যেন ভালোবেসে ইসলামকে ক্ষমতায় নিয়ে যায় সেই তৌফিক মানুষদেরকে দান করো আমিন।",2,2,2,1,2,2,2,2
আল্লাহ এবার সত্যের জয় দিবেন ইনশাআল্লাহ।,2,2,2,1,2,2,2,2
গতকাল নোয়াখালীতে দারসুল কোরআন প্রোগ্রামে সন্ত্রাসীরা হামলা করলো আর আপনি এবং আপনার সংগঠন চুপ!!!,2,2,2,3,2,2,2,2
মসজিদে নামাজ পড়তে গিয়ে রাজনৈতিক কর্মকান্ড চালিয়ে সাধারণ জনগণের মধ্যে আতঙ্ক সৃষ্টি করছে এই জামাত শিবির তারা কখনো বাংলাদেশের ভালো চাইনি ,2,2,2,3,2,2,2,2
"জামায়াতের মতো সৎ আদর্শবান শিক্ষিত মার্জিত ভাষা ব্যাবহার কারী দল বাংলাদেশে আর আসবেনা, খুব শীঘ্রই বাংলাদেশের রাষ্ট্রক্ষমতায় আসবে জামায়াত।",2,2,2,1,2,2,2,2
ইনশাআল্লাহ আগামী বাংলাদেশ জামাত ইসলামী ক্ষমতায় আসবি দেশের জনগণ ন্যায় ও সুবিচার পাবে।,2,2,2,1,2,2,2,2
বাংলাদেশ জামায়াত ইসলামী ক্ষমতায় আসবে দেশের মানুষ হাসবে ইনশাআল্লাহ,2,2,2,1,2,2,2,2
"নব্য স্বৈরাচার জামায়াত গোষ্ঠী—এরাই ইসলামের দুশমন, এরাই হচ্ছে সবচেয়ে বড় স্বৈরাচার।",2,2,2,3,2,2,2,2
জিন্দা অলি আইছে।,2,2,2,3,2,2,2,2
আগামীর দেশ হোক ইনসাফের,2,2,2,1,2,2,2,2
বাংলাদেশ সব দলে দেখেছি এবার দেখতে চাই মহান পবিত্র আল কুরআনের ন্যায়নীতির রাজনীতি ভবিষ্যৎ প্রজন্ম বাস্তবায়ন করবে ইনশাআল্লাহ,2,2,2,1,2,2,2,2
আগামীর বাংলাদেশ ইসলামের বাংলাদেশ,2,2,2,1,2,2,2,2
"জাসদী সফিক কয়দিন আগে বল্লো গীতার ভিত্তিতে ন্যায় বিচার প্রতিষ্ঠার কথা এখন বলছে কোরআন সুন্নার কথা, এটা কিরে ভাই !!? একোন মোনাফেকি",2,2,2,3,2,2,2,2
বাংলাদেশ একমাত্র জমায়াতে ইসলামীর হাতেই নিরাপদ।,2,2,2,1,2,2,2,2
আল্লাহর কাছে দোয়া করি খুব শীঘ্রই যেনো জামায়াত ক্ষমতায় আসে,2,2,2,1,2,2,2,2
দেশের বর্তমান রাজনৈতিক দলের চরিত্র থেকে আপনাদের নেতাকর্মীদের চরিএ অনেকটাই ভালো,2,2,2,1,2,2,2,2
"এই দেশকে বদলাবে বক্তৃতা নয়, আদর্শের আগুন! যে আদর্শের নাম জামায়াতে ইসলামী — ন্যায়ের পতাকা, বিশ্বাসের শক্তি, পরিবর্তনের প্রতীক!",2,2,2,1,2,2,2,2
যে কেউ ক্ষমতায় আসুক সমস্যা নেই কিন্তু পাকিস্তানি এজেন্ট জামায়াত ইসলাম যেনো না আসে।,2,2,2,3,2,2,2,2
ইসলামি লেবাসের বিদায় জানাইছে জামাতিরা ক্ষমতার মোহে,2,2,2,3,2,2,2,2
বিএনপি-সহ একটি বিশাল চক্র জামায়াতে ইসলামীকে কোনঠাসা করতে মাঠে নেমেছে!,2,3,2,1,2,2,2,2
কিসের মুজিব কিসের জিয়া দেশ চলবে কুরআন দিয়া..!,3,3,2,1,2,2,2,2
দেখো ভাইয়া দেখো…মোনাফিকের হাট বাজার দেখো,2,2,2,3,2,2,2,2
জনগন চাচ্ছে আপনাদের মাধ্যমে পরিপূর্ণ শরিয়াহ দ্বারা খিলাফাহ রাষ্ট্র প্রতিষ্ঠা হোক ।,2,2,2,1,2,2,2,2
জামাত ইসলামের চেতনা আল্লাহর বিধান ক্ষমতায় আনা।,2,2,2,1,2,2,2,2
আল্লাহ বাংলাদেশ জামায়াতে ইসলামীর সকল সদস্য ও কর্মীদের দ্বীন কায়েমের সৈনিক হিসেবে কবুল করুন আমিন,2,2,2,1,2,2,2,2
"গাজীপুরের ধর্ষণের ঘটনায় প্রতিবাদ না করাই, সকল মুনাফিকদের বয়কট।",2,2,2,3,2,2,2,2
জামাতচুদি,2,2,2,4,2,2,2,2
"ইনশাআল্লাহ, পরিবারের সবাই জামাতকে ভোট দিবো।",2,2,2,1,2,2,2,2
ইসলাম ছাড়া এই দেশে শান্তি আসবেনা এটা লিখে রাখেন।,2,2,2,1,2,2,2,2
জামায়াত সবসময় মানুষ গড়ার কারিগর,2,2,2,1,2,2,2,2
জামাতে ইসলামের জয় হবে ইনশাআল্লাহ,2,2,2,1,2,2,2,2
আগামী বাংলাদেশ কোরআনের বাংলাদেশ,2,2,2,1,2,2,2,2
বাংলা দেশ জামায়াতে ইসলামী জিন্দাবাদ দাড়ি পাল্লা জিন্দাবাদ।,2,2,2,1,2,2,2,2
"মওদুদী মোনাফেকরা, দেশে একটা অস্থিতিশীল পরিবেশ সৃষ্টি করে, দেশের মানুষকে একটা সংকটময় পরিবেশে নিয়ে যেতে চায়",2,2,2,3,2,2,2,2
এই কানে ভাষন দেওয়া আপনাদের কে মানায় না পুজা মন্ড বে গিয়ে ভাষন দিলে ভালো লাগবে,2,2,2,3,2,2,2,2
সুষ্ঠ নির্বাচনের মাধ্যমে এবং জ'নগণের ভালোবাসায় আগামীর স'রকার গ'ঠন করবে জামায়াতে ইসলামী ।,2,2,2,1,2,2,2,2
একাত্তরের দালালরা এখন জামাতে ইসলাম,2,2,2,3,2,2,2,2
বাংলাদেশ জামায়াতে ইসলামী ও শিবিরের অনেক রক্ত যরেচে এই দেশে আর না আগামীতে জামায়াতে ইসলামীকে সরকারের আসনে দেখতে চাই,2,2,2,1,2,2,2,2
আগামী দিন হবে জামাত ইসলামের ইনশাল্লাহ,2,2,2,1,2,2,2,2
ইনশাআল্লাহ দাঁড়িপাল্লা,2,2,2,1,2,2,2,2
জামায়াতে ইসলামীর কথা ও কাজে মিল নেই,2,2,2,3,2,2,2,2
আগামীর বাংলাদেশ রোজা আর পূজা বিষ্ণু কৃষ্ণ মোহাম্মদ ঈসা মুসা মিলেমিশে একাকার এদের নাম বট বাহিনীর ইসলাম,2,2,2,3,2,2,2,2
পিয়ারের নামে ধর্ষণ বেশি করা হচ্ছে জামাত ইসলাম,2,2,2,3,2,2,2,2
পিআর দিয়ে জামায়াত ভোটের মাঠে আলোচনায় থাকতে চাই।,2,2,2,3,2,2,2,2
এই দলের হেবি ওয়েট প্রার্থীরা নির্বাচনে গো হারা হারার ভয়ে পি আর কে ঢাল হিসাবে ব্যবহার করতে মরিয়া,2,2,2,3,2,2,2,2
ইনসাফের মার্কা দাড়িপাল্লার মার্কা,2,2,2,1,2,2,2,2
"নারায়ে তাকবীর আল্লাহু আকবার, বাংলাদেশ জামাতে ইসলামী জিন্দাবাদ, দাঁড়িপাল্লা জিন্দাবাদ ,পিয়ার পিয়ার পিয়ার চাই পিয়ার ছাড়া উপায় নাই।",2,2,2,1,2,2,2,2
আপনারার আইন হল পোজা করা আপনারা হলেন মোনাপেক,2,2,2,3,2,2,2,2
"জামায়াত চরমোনাইয়ের আবিষ্কৃত নতুন জিকির, পিআর পিআর পিআর পিআর",2,2,2,3,2,2,2,2
দাড়ি পাল্লা মানেই হিন্দু,2,2,2,3,2,2,2,2
বাচাল আর মুনাফেকদের মিলনমেলা,2,2,2,3,2,2,2,2
জামায়াত একটা সুযোগ সন্ধানী শিয়াল,2,2,2,3,2,2,2,2
ন্যায় ইনসাফের প্রতীক দাড়িপাল্লার বিজয় হবে ইনশাআল্লাহ,2,2,2,1,2,2,2,2
বাটপার জামাত,2,2,2,4,2,2,2,2
আল্লাহর আইন যেখানে সীল মারবো সেখানে,2,2,2,1,2,2,2,2
আল কোরআনের আলো সংসদে জ্বালো,2,2,2,1,2,2,2,2
রাজাকারের বাচ্চা,2,2,2,4,2,2,2,2
আল্লাহর নাম বলে বলে আল্লাহর সাথে ধোঁকাবাজি আর কত,2,2,2,3,2,2,2,2
ভন্ড প্রতারক জামাত,2,2,2,4,2,2,2,2
জামাত মানে বাটপার,2,2,2,4,2,2,2,2
ওরে সিটার ওরে বাটপারের দল মুনাফিকের দল ওরে জান্নাতের দল,2,2,2,4,2,2,2,2
আওয়ামী লীগ জামাতকে নির্যাতন করতে করতে জনপ্রিয়তা বাড়িয়েছেন আর বিএনপি এনসিপি সমালোচনা করতে করতে সরকার গঠন করা পর্যন্ত নিয়ে যাবেন ইনশাআল্লাহ,3,3,3,1,2,2,2,2
"কোন কিছুই পরিস্কার বোঝা যায় না, কি ধোয়াসা, কি ইসলামী আইন, আল্লাহই জানে কি চান আপনারা।",2,2,2,3,2,2,2,2
ইনশাআল্লাহ আগামী নির্বাচনে জামায়াতে ইসলামী বিজয় আনবে,2,2,2,1,2,2,2,2
৭১ এর গনহত্যা কারী দের রাজনীতি নিষিদ্ধ চাই।,2,2,2,3,2,2,2,2
দাঁড়িওয়ালা বাটপার কাফের ফেরাউন মিথ্যাবাদী শয়তান,2,2,2,4,2,2,2,2
দাঁড়িপাল্লা ভোট দিব,2,2,2,1,2,2,2,2
"কোরআনের দোহাই দিয়ে, মানুষের ঈমান নিয়ে ছিনিমিনি খেলছে!",2,2,2,3,2,2,2,2
"হিন্দু মানেই জামায়াত, জামায়াত মানেই হিন্দু",2,2,2,3,2,2,2,2
