Text,BAL,BNP,NCP,BangladeshJamaat_e_Islami,JaPa
"ইনশাআল্লাহ, এনসিপি নতুন কিছু করে দেখাবে",2,2,1,2,2
ক্ষমতা লোভী রাজনীতিবিদরা তরুন দের কে তাদের ক্ষমতার জন্য চ্যালেঞ্জ মনে করছে।,2,2,1,2,2
এনসিপি সকল রাজনৌতিক দলের বাপ,2,2,1,2,2
"এনসিপির প্রত্যেকটা সদস্য ব্রিলিয়ান্ট, টেকনিক্যালি জিনিয়াস,বিচক্ষন, দুর্দান্ত।",2,2,1,2,2
শাপলা কলির জয় হোক।,2,2,1,2,2
গ্রাম শহর অলিগলি ১২ তারিখে জিতবে এবার শাপলা কলি,2,2,1,2,2
সারা বাংলার অলি গলী রব উঠেছে শাপলা কলি।,2,2,1,2,2
অভিনন্দন। শূভ কামনা রইল। তরূণদের প্রথম ভোট এন সি পির শাপলা কলি প্রতীকে হোক। ইনকিলাব জিন্দাবাদ।,2,2,1,2,2
"এনসিপির প্রতি মানুষের আগ্রহ আছে, মানুষের সাথে মিশতে পারৱে কেউ ফিরায়া দিবে না।",2,2,1,2,2
এনসিপির নেতাদের প্রতি আহবান মাঠে নামুন ভাই। জনতার সাথে মিশুন অনেক দেরি করে ফেলছেন যদিও তাও লড়াইটা করুন,2,2,1,2,2
শাপলা সততার সাথে টিকে থাকুক সবার প্রিয় ও ভালোবাসা নিয়ে।,2,2,1,2,2
এনসিপি জিতলে জিতবে বাংলাদেশ,2,2,1,2,2
নাসিরউদ্দিন পাটোয়ারী অনেক সুন্দর করে জনগণের মনের কথা গুলো প্রকাশ করেছেন ধন্যবাদ ভাইকে,2,2,1,2,2
এনসিপি কে সাপোর্ট করে এগিয়ে নেওয়া প্রত্যেক সচেতন নাগরিকের দায়িত্ব।,2,2,1,2,2
"তারুণ্যের নেতৃত্বই এগিয়ে যাবে বাংলাদেশ ইনশাআল্লাহ, ইনকিলাব  জিন্দাবাদ",2,2,1,2,2
বাংলাদেশের জনগণ জাতীয় নাগরিক পার্টির সাথে যুক্ত হয়ে বাংলাদেশকে এগিয়ে নিতে হবে।,2,2,1,2,2
এনসিপির কার্যকলাপ যতদিন জনগণের পক্ষে থাকবে ততদিন আমরাও আপনাদের পাসে আছি থাকবো ইনশাআল্লাহ,2,2,1,2,2
এগিয়ে এসো নতুনদের পথে,2,2,1,2,2
"এনসিপি জনগণের আস্তা, গণমানুষের ভালোবাসা'র প্রতীক শাপলা কলি",2,2,1,2,2
"এনসিপি সব সময় জুলাই জোদ্ধাদের পাশে ছিল,আছে, থাকবে।",2,2,1,2,2
এনসিপি এর সকল কর্মকান্ড আলহামদুলিল্লাহ অনেক ভালো।,2,2,1,2,2
"মানুষ পরিবর্তন চায়, সেটা এনসিপি তে সম্ভব",2,2,1,2,2
দরকার হলে আমরা প্রবাসী বাঙালিরা নির্বাচন প্রচারণা চালানোর জন্য এনসিপি কে টাকা পাঠাবো।,2,2,1,2,2
দেশের জনগণ চলো আমরা নাহিদ ইসলামের সাথে যুক্ত হয়ে দেশকে সুন্দর ভাবে সাজিয়ে তুলি।,2,2,1,2,2
"এত অল্প সময়ে জনপ্রিয়তা পাওয়া দলটা ইনশাআল্লাহ খুব শীঘ্রই জনতার হয়ে সংসদে আওয়াজ তুলবে,জনতার হয়ে জনতার কথা বলবে। ",2,2,1,2,2
"এনসিপি একটা সিট ও না পাক,কোন সমস্যা নেই। সুস্থ রাজনৈতিক চর্চা তো শুরু করতে পেরেছি আমরা এটা এই প্রজন্ম জন্য যথেষ্ট।💘",2,2,1,2,2
আগামীর ব্যালট হবে বুলেটের বিরুদ্ধে মাফিয়াতন্ত্রের বিরুদ্ধে পরিবারতন্ত্রের বিরুদ্ধে ,2,2,1,2,2
"জুলাইয়ের গণ-অভ্যুত্থানের মধ্য দিয়ে গড়ে ওঠা, জাতীয় নাগরিক পার্টি-এনসিপির জন্য শুভকামনা।",2,2,1,2,2
যাদের হাত ধরে বিএনপি নতুন করে ক্ষমতায় আশার স্বপ্ন দেখছে তাদের শুভকামনা দিতেই হবে।,2,1,1,2,2
যাদের হাত ধরে বহিষ্কার হওয়া জামায়েত রাজনীতি করার সুযোগ পেয়েছে তাদের শুভকামনা দিতেই হবে,2,2,1,1,2
যাদের নেতৃত্বে ত্যাগের বিনিময় তরুণ যুবসমাজ রাতের ভোট দিনে দেওয়ার সুযোগ পেয়েছে তাদের শুভকামনা দিতেই হবে তা না হলে আমরা বড় অকৃতজ্ঞ জাতি হিসেবেই পরিগনিত হব।,2,2,1,2,2
ছোট্ট ছোট্ট পায়ে চলতে চলতে ঠিক পৌঁছে যাবে।। ইনশাল্লাহ এগিয়ে যাক এনসিপি।।,2,2,1,2,2
এনসিপি দলটাকে শক্ত করে ভাল নেতা কর্মী দ্বারা পরিচালনা কর দেখবে বাংলাদেশে বড় দল হিসেবে প্রতিষ্ঠিত হবে।,2,2,1,2,2
জনতার রায়কে প্রাধান্য দিয়েই আমরা আগামীর সরকার গঠন করবো ইনশাআল্লাহ শাপলা কলি হবে শান্তি এবং ন্যায়এর প্রতিক ইনশাআল্লাহ,2,2,1,2,2
"লুটপাট, মাফিয়াতন্ত্র আর দুর্নীতির অন্ধকার থেকে বাংলাদেশকে মুক্ত করতে হলে তরুণদের নেতৃত্বই হতে হবে পরিবর্তনের আগুন।",2,2,1,2,2
এনসিপি আপনাদের সকল প্রার্থীর জন্য আমার দোয়া এবং ভালোবাসা রইলো | এনসিপি আমার ভালবাসার দল |,2,2,1,2,2
"এনসিপি এর হাতেই, বাংলাদেশ নিরাপদ",2,2,1,2,2
জুলাই যোদ্ধাদের সবচেয়ে বড় ভুল আজিবনের জন্য বিপ্লবী সরকার গঠন না করা। শত্রুরা এভাবে মারতেই থাকবে।,2,2,1,2,2
এনসিপি তাহদের অবস্থান আরো শক্ত করতে হবে এখন যে বাবে আছে এই বাবে রাজনিতি করা যায় না,2,2,1,2,2
"এখনো সময় আছে জুলাইয়ের সব সহযোদ্ধা এক প্লাটফর্মে আসো। ঐক্যবদ্ধ হও, কারণ সন্ত্রাসীরা জুলাই যোদ্ধাদের টার্গেট করে আছে।",2,2,1,2,2
নবদলটার প্রতি আমাদের বিনীত অনুরোধ—দেশের কল্যাণকে সর্বোচ্চ অগ্রাধিকার দিয়ে আদর্শনিষ্ঠ রাজনীতি করুন।,2,2,1,2,2
বাংলাদেশের এই সংকটময় মুহূর্তে আপনাদের বাংলাদেশের প্রয়োজন।,2,2,1,2,2
আপনারা বাংলাদেশের আলোকবর্তিকা তথা আলোর দিশারী।,2,2,1,2,2
ভারতীয় আধিপত্যবাদ উপড়ে ফেলতে আপনাদের ভূমিকা অনস্বীকার্য।,2,2,1,2,2
"ভয় পাবেন না, শক্ত হাতে মোকাবিলা করুন. জনগন বিচার চায় . তরুণরাই দেশের ভবিষ্যৎ. ইয়া আল্লাহ আপনার কাছে বিচার চাই.",2,2,1,2,2
এ দেশের যুব সমাজ কি চাই সেই ভাবে রাজনৈতিক করেন।।।,2,2,1,2,2
বিপুল ভোটের মাধ্যমে পাস করবে ইনশাআল্লাহ জুলাই যুদ্ধারা,2,2,1,2,2
"কোনো দলের উপর আক্রমণ হয় না, শুধু  এনসিপি উপর,,তারমানে এই একটা দলই সঠিক পথে আছে",2,2,1,2,2
প্রীয় হাসনাত ভাই আমরা আপনাদের হারাতে চাইনা  সাবধানে থাকেন আল্লাহ সবাইকে হেফাজত করুক,2,2,1,2,2
প্রীয় হাসনাত ভাই আমরা আপনাদের হারাতে চাইনা  সাবধানে থাকেন আল্লাহ সবাইকে হেফাজত করুক,2,2,1,2,2
ভয় না পেয়ে এগিয়ে যান বাংলাদেশের ৯০ শতাংশ লোক আপনাদের সাথে আছে,2,2,1,2,2
"ফ্যাসিবাদ, আধিপত্যবাদ নিপাত যাক। ইনকিলাব জিন্দাবাদ।",2,2,1,2,2
"ইনশাআল্লাহ,,এনসিপি সরকার গঠন করবে",2,2,1,2,2
"সকল ষড়যন্ত্র, অন্যায় রুখে দিয়ে আসছে ১২ ফেব্রুয়ারি সারাদিন শাপলা কলিতে ভোট দিন",2,2,1,2,2
"জামাতের সঙ্গে যোগদিয়ে সময়ের সেরা সিদ্ধান্ত নিয়েছে এনসিপি, তাই তোমাদের কে মোবারকবাদ জানাই",2,2,1,1,2
জুলাইয়ের সেই তেজ ছড়িয়ে পড়ুক সবার মনে।,2,2,1,2,2
আধিপত্যবাদ নিপাত যাক জনগণের ঐক্য মুক্তি পাক।,2,2,1,2,2
আপনারা একতা বদ্ধ থাকলে ক্ষমতা আপনাদের পায়ের তলায় চলে আসবে,2,2,1,2,2
মানুষ এখনো আপনাদের সাথে আছে।,2,2,1,2,2
বামপন্থী শয়তানদের বিদায়ের মাধ্যমে এনসিপি এদেশের মানুষের আকাংখা বাস্তবায়নের পথে এগিয়ে যেতে পারবে।,2,2,1,2,2
বামপন্থীদের চাপে গনবিরোধী কার্যকলাপে উদীয়মান শক্তি থেকে মৃত্যুপথযাত্রী হওয়া এনসিপি ঘুরে দাঁড়াবে।ইনশাআল্লাহ।,2,2,1,2,2
ধন্যবাদ জনগণের পক্ষে জুলাইয়ের পক্ষে জনতা জনতা স্লোগানে ফিরে আসার জন্য ইনকিলাব জিন্দাবাদ,2,2,1,2,2
আগামী দিনগুলো স্বচ্ছতা ও জবাবদিহিতার সাথে চলবে এই প্রত্যাশা থাকবে। শুভকামনা রইলো,2,2,1,2,2
"এনসিপির রাজনীতি ব্যক্তি নয়, আদর্শ ও সংগঠনকেন্দ্রিক।",2,2,1,2,2
"আসিফ ভাই, মাহফুজ ভাই ,নাহিদ ভাই, সারজিস ভাই এবং হাসনাত ভাই এই পাঁচ জন ছাড়া এনসিপি স্বয়ংসম্পূর্ণ মনে হয় না। এ পাঁচজনকেই সমপর্যয়ের পদবী তে রাখা উচিত এন সি পি র।",2,2,1,2,2
বুদ্ধিবৃত্তিক মেধাচর্চার রাজনীতিতে নাহিদ অনেক এগিয়েই থাকবে। জুলাই যোদ্ধাদের পুরোটাই কলিজা আর কলিজা।,2,2,1,2,2
"আসিফ, নাহিদ,সার্জিস,হাসনাত এক থাকতে হবে আমরাই আপনাদের প্রথম বিপ্লবী মানি!",2,2,1,2,2
"জুলাই তে যেভাবে ঐক্যবদ্ধ ছিলেন, সামনের দিন গুলি তে ঐক্যবদ্ধ দেখতে চাই।",2,2,1,2,2
এটাই এনসিপি। যেখানে নীতি আছে।,2,2,1,2,2
আপনারা সঠিক সিদ্ধান্ত নিয়েছেন আপনারা বিএনপির সাথে যোগ দিলে জুলাই ব্যর্থ হতো।,2,3,1,2,2
এনসিপি তাদের দলে একটা স্বচ্ছ গণতান্ত্রিক পদ্ধতিতে সংখ্যা গরিষ্ঠ সদস্যদের মতামতের ভিত্তিতে তাদের সিদ্ধান্ত নিয়েছে। এজন্য এনসিপিকে ধন্যবাদ জানাচ্ছি।,2,2,1,2,2
"দেশ,দল ও ব্যক্তিগত নিরাপত্তার জন্য বিপ্লবীদের সংঘবদ্ধ থাকা জরুরি।",2,2,1,2,2
এই দলটা নিয়ে কেন যেন একটু হলেও আশা আছে এখনো ।। এ সংগ্রাম চলুক।।,2,2,1,2,2
"একতাই শক্তি একতাই বল, এগিয়ে যাও ১০ দল, রাজনৈতিক সমযোতা না হলে আগামী ১০০ বছরেও ইসলামি দল ক্ষমতায় আসবে না।",2,2,1,1,2
ইনশাআল্লাহ তারুণ্যের স্বপ্ন পূরণ হবে।বাংলাদেশ এগিয়ে যাবে,2,2,1,2,2
ইনশাল্লাহ জাতীয় নাগরিক পার্টি জিতবে,2,2,1,2,2
"কোটি জনতার আশার আলো, এনসিপি সামনে চলো।",2,2,1,2,2
"সন্ত্রাসবাদ ও সহিংসতার বিরুদ্ধে, শান্তি, গণতন্ত্র, নতুন রাজনৈতিক বন্দোবস্ত ও ইতিবাচক পরিবর্তনের পক্ষে ভরসার আরেক নাম এনসিপি",2,2,1,2,2
এনসিপি-‌শি‌বির ভাই ভাই,2,2,1,1,2
"২৪ শে বিপ্লবী দেশপ্রেমিক ছাত্রজনতা ফ্যাসিস্ট মুক্ত বাংলাদেশ করেছে। আগামী নির্বাচনে দেশপ্রেমিক জনগণ চাঁদাবাজ মুক্ত বাংলাদেশ গড়বে, ইনশা'আল্লাহ।",2,2,1,2,2
দল ছোট নতুন হলেও অনেক পুরাতন এর চেয়ে বেশি আলোচিত এটা ভালো দিক ধীরে ধীরে এগিয়ে যাবে,2,2,1,2,2
শাপলা কলি এগিয়ে যাবে তরুণ দের হাত দরে,2,2,1,2,2
"আমাদের একতা ও সাহসই আমাদের শক্তি। ইনকিলাব জিন্দাবাদ, পরিবারতন্ত্র মুর্দাবাদ",2,2,1,2,2
এনসিপি কে ধন্যবাদ চাঁদাবাজদের সাথে জোট না করে যারা জুলাই কে ধারণ করে সবাই ঐক্যবদ্ধ হচ্ছে দলগুলোর সাথে জোট বদ্ধ হয়েছে,2,3,1,1,2
ভারতীয় আধিপত্যবাদের বিরুদ্ধে লড়াইয়ে সমঝোতা জোট সবকিছুই সমর্থন রইল,2,2,1,1,2
বিপ্লবীরা ঐক্যবদ্ধ থাকলে বাংলাদেশ শক্তিশালী হবে,2,2,1,2,2
"আমার কাছে বাংলাদেশের সব দল এক পাশে, আর আমি শুধু নাহিদ ভাইয়ের পাশে",2,2,1,2,2
ভারতীয় হেজিমনি থেকে দেশ উদ্ধার করতে জামায়াতের সাথে এনসিপির নির্বাচনী জোটকে আমি স্বাগত জানাই।,2,2,1,1,2
"হাসনাত একটা জিনিস, এমন দেশপ্রেমিক যদি সবাই হতো।দেশটা কতোইনা সুন্দর হতো",2,2,1,2,2
আজ থেকে কয়েকশো বছর পরেও আমাদের ইতিহাসের বই পুস্তকে দূরদর্শী নেতাদের কথা লেখার উদাহরণ হিসেবে একজন হাসনাত আব্দুল্লাহর নেতৃত্বের গুনাবলি লেখা থাকবে,2,2,1,2,2
চাঁদাবাজদের বুকে কাঁপন ধরানোর জন্য এক নাসিরুদ্দিন পাটওয়ারী-ই যথেষ্ট!,2,3,1,2,2
"হাসনাত আবদুল্লাহ, নাসিরুদ্দীন পাটোয়ারী, নাহিদ ইসলাম বেয়াদব নয়, এরা হলো এই প্রজন্মের প্রতিবাদী কন্ঠস্বর  নাসির উদ্দীন যদি বেয়াদব হয় তাহলে এদের মতন বিয়াদব আমাদের দেশের জন্য দরকার",2,2,1,2,2
আজকের পর থেকে এনসিপি কিন্তু বিএনপির চেয়েও বড় দল!,2,3,1,2,2
"নাসিরউদ্দিন পাটোয়ারী লন্ডন থেকে ভেসে আসা কোনো নেতা নয়, সে রাজপথের সংগ্রাম থেকে গড়ে ওঠা এক বিপ্লবী।",2,3,1,2,2
"আমাদের আগামী প্রজন্ম, ওরাই আমাদের শক্তি",2,2,1,2,2
গণমানুষের কন্ঠ এনসিপি,2,2,1,2,2
নব্য ফ্যাসিবাদের বিরুদ্ধে আপোষহীন সংগ্রামের নাম এনসিপি,2,3,1,2,2
"ভাই যেকোন সময় প্রস্তুত আছি শুধু আপনাদের একটি ডাকের অপেক্ষায় একটি ফ্যাসীবাদের ভয়ংকর পতন করে দেখিয়েছি এখন আরেকটির পালা  ইনকিলাব ""জিন্দাবাদ""",3,3,1,2,2
জণগনের ভাষা বুঝে এনসিপি,2,2,1,2,2
এনসিপি খুব শিখ্রই ক্ষমাতায় বসতে চলেছে,2,2,1,2,2
"যে যাই বলুক আপনার দল হিসেবে এনসিপি র সাথে দ্বন্দ্ব বিরোধ থাকতেই পারে কিন্তু তাদের ওই অবিচল সিদ্ধান্তই আজকে আমাদের ফ্যাসিবাদ, স্বৈরাচার মুক্ত বাংলাদেশ উপহার পেয়েছি আলহামদুলিল্লাহ",2,2,1,2,2
এনসিপি ফটকাবাজ,2,2,3,2,2
এন সি পি থেকে এখন পচা দুর্গন্ধ ছড়াচ্ছে,2,2,3,2,2
বাচ্চা পার্টি,2,2,3,2,2
জুলাই বিক্রেতা,2,2,3,2,2
জুলাই অভ্যুত্থানের কলঙ্ক এনসিপি,2,2,3,2,2
ভবিষ্যতের ফুটবল হবে এনসিপি সবার লাথি খাবে।,2,2,3,2,2
"যাদের রক্ত বিক্রি করে শিশু পার্টির নেতারা আঙুল ফুলে কলাগাছ হয়েছে, সেই জুলাই যুদ্ধাদের এখন আর খোঁজ খবর নাই।",2,2,3,2,2
"এনসিপি কয়দিন পরে গান গাইবো,,আমি নিজের হাতে নিজের পায়ে কুড়াইল মারিলাম,,",2,2,3,2,2
তেলাপোকা নিজে কে পাখি মনে করা আর এনসিপি নিজে কে দল মনে করা এক কথা,2,2,3,2,2
বাচ্চারা কাইন্দোনা,2,2,3,2,2
এনসিপি হারিয়ে যাওয়ার সম্ভাবনাই বেশি।,2,2,3,2,2
রাজনৈতিকভাবে এনসিপি এদেশে এখনো কিছুই না।,2,2,3,2,2
জাতীয় নব্য চিলড্রেন চাঁদাবাজ পার্টি,2,2,3,2,2
নির্বাচনের পরে কোন অস্তিত্বই থাকবে না,2,2,3,2,2
শিশু পার্টি,2,2,3,2,2
এনসিপি কি পাগল হইয়া জাইতাছে দিন দিন,2,2,3,2,2
এই এনসিপি কে বিএনপি টিস্যু পেপার মতো ব্যবহার করে ডাস্টবিনে নিক্ষেপ করবে।,2,1,3,2,2
এনসিপি হচ্ছে কলা বাদুরের মত এক গাছ থেকে আরেক গাছে গিয়ে কলা খায়,2,2,3,2,2
এনসিপি মবসন্ত্রাসী,2,2,3,2,2
আমার মনে হয় যুক্তিহীন ও নির্বোধ মতামত দিয়ে জামায়াতের পিছনে পড়ে নিজেদেরকে চাদাবাজ দলের কাতারে নিয়ে আসতেছেন।,2,3,3,1,2
"নবগঠিত এই দল গণমানুষের মনে যে সামান্য পরিমাণ দরদ পেয়েছিল, চাঁদাবাজি , মাস্থানী আর অসৌজন্যমূলক আচরণের কারণে দরদের সেই জায়গাটাও তারা হারিয়ে ফেলেছে।",2,2,3,2,2
এনসিপি নিজেদেরকে দিন দিন স্বার্থান্বেষী হিসেবে প্রমাণ করেছে।,2,2,3,2,2
গণঅভ্যুত্থানকে পুঁজি করে ব্যবসা করতে চাইলে মুক্তিযুদ্ধ ইন্ডাস্ট্রির মত আপনারাও ইতিহাসের আস্তাকুঁড়ে নিক্ষিপ্ত হবেন ইনশাআল্লাহ।,3,2,3,2,2
যে দলের মেম্বার হওয়ার মত লোক নাই সেই জামাতের সাথে লাগতে আসে।,2,2,3,1,2
অভ্যু*ত্থান এন*সিপির বাপের নয়,2,2,3,2,2
চেতনা বিক্রিতে এনসিপি ফ্যাসিস্ট আওয়ামীলীগকেও ছাড়িয়ে যাচ্ছে।,3,2,3,2,2
জুলাই বিক্রি করে এনসিপির নেতারা পেট এবং পকেট বারি করেছে।,2,2,3,2,2
জীবনে আর কিছু না দেখলেও চোখের সামনে এনসিপির মারা খাওয়া দেখছি ,2,2,3,2,2
দুধের বাচ্চা গুলা।,2,2,3,2,2
"আফনেরা জুলাই নিয়্যা ব্যবসা করবেন, সমন্বয়ক কইয়্যা চাদাবাজি কইর‍্যা টেকা ইনকাম করবেন, ক্ষেমতায় যাইবেন।",2,2,3,2,2
পরিশ্রম ছাড়া অন্যের কাদের উপর ভর করে নেতা হতে চাই এবং নেতৃত্ব দিতে চাই সেই দলটি হচ্ছে এন সি পি।,2,2,3,2,2
জামাত শিবিরের লোক ছাড়া তাদের জনসভা করতে পারে না।,2,2,3,1,2
জুলাইকে কুক্ষিগত করতে গিয়ে এনসিপি জাতিকে বিভক্ত করেছে।,2,2,3,2,2
জুলাই বিক্রি করে রাজনীতিকে অস্থিতিশীল করেছে।,2,2,3,2,2
"সিনিয়র সিটিজেন, রাজনীতিবিদদের নূন্যতম সম্মান এনসিপি দেখাতে পারেনা।",2,2,3,2,2
জুলাই বেচার একমাত্র দল এনসিপি,2,2,3,2,2
গণঅভ্যুত্থান সিনতাই করার চেষ্টা করছে এনসিপি সফল হয়নি তাই আবোল তাবল বকছে।,2,2,3,2,2
"জামায়াত শুধু তোদের না, ২৪ অভ‍্যুত্থানের ও বাপ!",2,2,3,1,2
গণঅভ্যুত্থান কারো একক সম্পত্তি না আর যদি এনসিপি একক সম্পত্তি বানাতে চাই তাহলে আওয়ামী লীগের মতো মুক্তিযুদ্ধের চেতনা ব্যবসার মতো এতো দিন টিকতে পারবে না,3,2,3,2,2
"এতো দিন জামায়াত - শিবিরের সরাসরি সাপোর্টে উঁচু গলায় কথা বলেছিস, গোপালগঞ্জ সহ দেশের বিভিন্ন জায়গায় মার খাচ্ছিস, সব জায়গায় জামায়াত তোদের পাশে দাড়িয়েছে।",2,2,3,1,2
জুলাই বিক্রি করে ভালো টাকা কামাইছো,2,2,3,2,2
তোমরা এতো অল্প বয়সে নষ্ট হয়ে যাবে ভাবতে পারিনি,2,2,3,2,2
নিজেদেরকে গণঅভ্যুত্থানের বাপ দাবি কইরেন না,2,2,3,2,2
এনসিপির ছেলে গুলো বখে যাচ্ছে।,2,2,3,2,2
এন সিপির সমস্ত নেতাকর্মির উদ্যেশ্য বলতাছি আজ থেকে আপনারা জামাত কে আব্বা ডাকবেন,2,2,3,1,2
"এনসিপি যেভাবে কথা বলতেছে মনে গণঅভ্যুত্থান শুধু তারাই করেছে, অন্যদল গুলোর কেউ ছিলো না!",2,2,3,2,2
গনঅভ্যুত্থান নামক বাপ কে তো তোমরা বিক্রি করে খেয়ে ফেলেছো।,2,2,3,2,2
গণঅভ্যুত্থানের ডিলার নিয়েছে নাকি এনসিপি(ন্যাশনাল সুবিধাবাজ পার্টি),2,2,3,2,2
বাচ্চারা কথা শিখছো,2,2,3,2,2
২৪ এর জুলাই আগস্ট নিজের দলের সম্পদ মনে করাটাই সবচেয়ে বড় ভুল।,2,2,3,2,2
এনসিপির ভবিষ্যৎ অন্ধ।,2,2,3,2,2
এনসিপি ও পুরনো রাজনৈতিক ধারা বজায় রেখে চলা শুরু করছে মনে হচ্ছে।,2,2,3,2,2
জামাতের সমর্থন ছাড়া এনসিপি শুকনো পাতা।,2,2,3,1,2
নিজেদের ব্যক্তিগত ফ্রাস্ট্রেশন অথবা রাজনৈতিক ফ্রাস্ট্রেশন এর পর্যায়ে আছে এন সি পি,2,2,3,2,2
"আগে ছিল মুক্তিযুদ্ধের চেতনা, এখন হইছে জুলাই চেতনা।",3,2,3,2,2
বেশির ভাগ পোলাপানই হাটুর বয়সী,2,2,3,2,2
ভাই আপনারা দেশের বড় একটা সংখ্যার কাছে গ্রহণযোগ্যতা হারিয়েছেন,2,2,3,2,2
দেশ ধ্বংসের কারিগর জুলাই ব্যবসায়ী হঠাও বাংলাদেশ বাঁচাও,2,2,3,2,2
এনসিপি মানুষের আবেগ অনুভূতিকে টার্ম কার্ড হিসেবে ব্যবহার করলো।,2,2,3,2,2
ফালতু এনসিপি বয়কট। কিসের সাথে কি পান্তা ভাতে ঘি,2,2,3,2,2
এনসিসির ফুটেজ খোরি মানুষ আর খায় না,2,2,3,2,2
বাটপারের দল। জুলাই বেচে খাইছিস তোরা।,2,2,3,2,2
কলি কখনো ফুটবে না ভুঝলে সোনা গো আমার-মানুষ এই কয়েক মাসে বুঝে গেছে কলির ভিতর পোকা আছে।।,2,2,3,2,2
এনসিপি নব্য রাজাকার টিকতে না বেশিদিন,2,2,3,2,2
আপনারা একসময় ছিলেন হিরো এখন আপনারা হয়ে গেছেন জিরো,2,2,3,2,2
"তোরা জুলাইয়ের গাদ্দার,ক্ষমতা তোদের কাছে বড় হয়ে গেছে,হাদি ভাইয়ের লাশ ভুলে কিভাবে পারলি প্রথম কালো আর ডাইনী সিস্টার দেখতি",2,2,3,2,2
"দুঃখের সাথে বলতে হচ্ছে এনসিপির সাথে জণগণ আর কোন আন্দোলনে নাই, বিশেষ করে তাওহীদি জনতা।",2,2,3,2,2
হায়রে এনসিপি!নিজের কর্মীদের নিরাপত্তা দিতে সক্ষম না।,2,2,3,2,2
"আপনারা কি কিছুই করবেন না,,শুধু দুঃখ প্রকাশ এবং অথর্ব সরকারের কাছে বিচার চাইবেন??",2,2,3,2,2
এনসিপি ক্ষমতার লোভে এখন সুশীল সেজে বসে আছে।,2,2,3,2,2
এদেশের মানুষ আস্তে আস্তে এসব ক্ষমতা লোভী ছেলেদের থেকে মুখ ফিরিয়ে নিচ্ছে।,2,2,3,2,2
জুলাই বিপ্লব যদি ব্যর্থ হয় তবে এদেশের লক্ষ তরুণ এনসিপির এসব নেতারদের কখনোই ক্ষমা করবে না।,2,2,3,2,2
ওদের জন্যই বিপ্লবী সরকার গঠন করা সম্ভব হয়নি। ওদের কঠিন বিচার হবে একদিন।,2,2,3,2,2
"তোমাদের থেকে জাতির বিশ্বাস উঠে গেছে , এই বিশ্বাস আর অর্জন করতে পারবে কি না জানি না ,",2,2,3,2,2
বিপ্লবী নেতারা টেবিলে সুশীল সাজলে কর্মী রা এভাবেই হারিয়ে যাবে,2,2,3,2,2
"এই জুলাই বিক্রি করে তোরা অনেক টাকা ইনকাম করছিস, নিজেদেরকে তোরা বিক্রি করে দিয়েছিস। তোদের জন্য সামনে চরম অপমান আর দুর্দশা অপেক্ষা করছে।",2,2,3,2,2
